PLAYER_NAME,TeamWinning,TeamWins,TeamTotal
Zaza Pachulia,0.630021142,298,473
Andre Miller,0.628820961,288,458
Josh Richardson,0.628820961,144,229
C.J. Wilcox,0.628158845,174,277
Sasha Pavlovic,0.628070175,179,285
Wesley Matthews,0.627596439,423,674
Josh Smith,0.627408994,293,467
Chris Copeland,0.626609442,146,233
Blake Griffin,0.626593807,344,549
Shannon Brown,0.626315789,238,380
DeMar DeRozan,0.626242545,315,503
Greg Smith,0.626126126,139,222
Quinn Cook,0.625714286,219,350
C.J. Watson,0.625336927,232,371
Aaron Brooks,0.625246548,317,507
Lance Stephenson,0.625225225,347,555
Toney Douglas,0.625,350,560
Avery Bradley,0.624778761,353,565
Ian Clark,0.624242424,206,330
Justise Winslow,0.623430962,149,239
Dante Exum,0.622222222,168,270
Jarnell Stokes,0.621276596,146,235
Tracy McGrady,0.621145374,141,227
Marcin Gortat,0.620689655,342,551
Vladimir Radmanovic,0.620535714,139,224
Austin Rivers,0.620171674,289,466
James Ennis III,0.61987041,287,463
Jeff Green,0.6197411,383,618
Nicolas Batum,0.61954262,298,481
Gordon Hayward,0.618942731,281,454
Dahntay Jones,0.618644068,292,472
Joe Johnson,0.618538324,347,561
John Holland,0.618090452,123,199
Kenneth Faried,0.617948718,241,390
Timofey Mozgov,0.617647059,315,510
Pablo Prigioni,0.61754386,176,285
Glen Davis,0.617210682,208,337
Gary Harris,0.617100372,166,269
Quincy Pondexter,0.61663286,304,493
Luke Walton,0.61637931,143,232
Briante Weber,0.615925059,263,427
Dwayne Jones,0.615702479,149,242
Malcolm Thomas,0.614906832,198,322
Montrezl Harrell,0.61440678,145,236
Markel Brown,0.614107884,148,241
Steve Blake,0.613744076,259,422
Iman Shumpert,0.613475177,346,564
Lazar Hayward,0.613043478,141,230
John Lucas III,0.612980769,255,416
Amir Johnson,0.612903226,285,465
Gary Payton II,0.612676056,174,284
Kirk Hinrich,0.612676056,261,426
Ryan Anderson,0.612021858,336,549
Mike Muscala,0.611702128,230,376
Tony Snell,0.611702128,230,376
Dennis Schroder,0.611620795,200,327
Jerel McNeal,0.611607143,137,224
Wilson Chandler,0.611208406,349,571
Rudy Gay,0.610634648,356,583
CJ Miles,0.610294118,332,544
Landry Fields,0.609865471,136,223
Hedo Turkoglu,0.609230769,198,325
Nick Johnson,0.608465608,115,189
Dion Waiters,0.607888631,262,431
James Johnson,0.607553366,370,609
Cole Aldrich,0.607142857,306,504
Kosta Koufos,0.605691057,298,492
Reggie Williams,0.605577689,304,502
Jared Cunningham,0.605536332,175,289
Malachi Richardson,0.605263158,115,190
Kyrie Irving,0.605080831,262,433
